Fri. Mar.  1, 2013             LANDSAT 5                 Time: 02:34
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L6294622            Path/Row: 181 / 033

L0R Reference Image: L51XXX1090219080100_HDF.130600820
Acquisition Date: Aug 07, 1990

Band Number:  5

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
181   033   2000-06-07


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1810330140   38.677324   27.016670    62.008       2.337    -2.899     2.838    -2.408
1810330141   38.394757   27.096651   104.986       2.921    -3.532     3.530    -2.920
1810330142   39.701480   26.693924   655.434       0.777    -0.449     0.846    -0.296
1810330143   38.453858   27.313340   239.832      -0.958     6.954    -2.240     6.647
1810330144   39.214541   27.340323   117.740      -0.063     0.330    -0.122     0.312
1810330146   38.524883   26.210265   137.396      -2.454     2.815    -2.937     2.305
1810330147   38.488684   26.137736    61.461       1.091    -0.380     1.142    -0.169
1810330148   38.183934   26.027616    74.760      -0.732    -1.835    -0.376    -1.939
1810330149   39.800578   26.033971    56.277       2.530    -2.206     2.895    -1.696
1810330150   39.369567   26.614579    50.719       2.618    -6.502     3.785    -5.897
1810330151   38.372331   26.923184   101.701      -2.828     0.607    -2.890     0.066
1810330152   38.299957   26.510515   237.444      -6.504    -3.429    -5.742    -4.584
1810330153   38.330897   26.317749    55.162      -2.712     0.899    -2.832     0.375
1810330154   38.424914   27.196017    67.728       1.783    -1.685     2.068    -1.319
1810330155   39.202012   26.054731   343.774      -2.712    -6.488    -1.452    -6.876
1810330156   38.463147   26.725019    66.500      -0.560     2.734    -1.061     2.580
1810330158   39.189808   26.083726   627.297      -1.404     2.330    -1.813     2.024
1810330159   38.290463   26.762378   202.066       0.285    -4.068     1.042    -3.940
1810330160   38.262682   26.677424   206.410      -3.562    -1.376    -3.239    -2.018
1810330161   39.053323   27.719196   354.446       1.764    -4.406     2.555    -3.994
1810330162   38.318088   26.347382    43.965      -5.294    -2.674    -4.697    -3.618
1810330163   38.241606   26.594554   340.626      -1.883    -0.710    -1.715    -1.049
1810330164   38.310184   26.567408   197.749      -3.477    -3.410    -2.774    -3.999
1810330165   39.220931   26.725215    46.000      -4.988     1.233    -5.128     0.279
1810330168   39.292794   26.706844    51.295      -1.008     5.565    -2.029     5.277
1810330169   38.780884   27.431852   251.339      -0.106    -6.353     1.085    -6.256
1810330170   39.417720   27.840372   371.753       4.031     4.960     3.034     5.622
1810330171   39.728865   26.162397    56.832       0.143    -1.588     0.436    -1.534
1810330173   39.290354   27.525761   295.564      -0.717     3.347    -1.326     3.152
1810330174   38.637692   26.523048    49.269       1.534    -4.071     2.268    -3.710
1810330177   38.639182   27.441687    71.029       6.342    -2.531     6.702    -1.296
1810330178   38.748954   27.059841   372.635      -1.272    -0.588    -1.137    -0.815
1810330179   39.051672   27.521213   685.740      -2.168    -5.730    -1.056    -6.026
1810330182   38.194901   25.951072    48.796       1.579    -1.410     1.814    -1.089
1810330183   38.361093   26.456535    52.970      -2.435     0.029    -2.396    -0.427
1810330185   38.790321   26.947263    60.148       0.906    -1.858     1.237    -1.655
1810330186   38.351428   26.839774   120.915      -5.310     2.354    -5.653     1.316
1810330188   38.468866   27.256662   170.597      -2.605    -3.565    -1.889    -3.988
1810330189   39.329743   27.325217   381.109       1.013    -2.383     1.440    -2.150
1810330190   38.602987   25.534149    54.569      -1.118     2.575    -1.582     2.320
1810330191   38.494712   27.302508   358.072       2.711    -2.731     3.173    -2.172
1810330192   38.726219   27.269659   224.935      -1.221     2.719    -1.706     2.441
1810330193   39.156253   26.150479    51.371      -0.534    -2.985     0.033    -3.032
1810330194   38.171247   26.772356    44.654       0.617     0.872     0.443     0.972
1810330195   39.561452   26.691397    56.917      -2.353     1.335    -2.560     0.872
1810330196   38.329198   25.973165    43.000      -2.687     5.967    -3.758     5.357
1810330197   39.113275   26.534780   184.751       3.264    -0.395     3.278     0.222
1810330198   38.593544   26.062419    61.945      -3.597    -1.884    -3.181    -2.523
1810330199   39.813031   26.004356    51.068      -1.392     3.112    -1.949     2.798
1810330202   39.024150   27.085719    95.778       1.005    -1.366     1.243    -1.154
1810330203   39.340250   26.579232    63.429      -1.072     4.697    -1.930     4.412
1810330205   38.103475   26.603873    62.246       0.715    -0.319     0.763    -0.179
1810330206   38.365171   26.143324    47.053      -0.757    -4.735     0.143    -4.792
1810330207   38.352559   26.323383    56.182       0.752    -2.423     1.192    -2.239
1810330209   38.632072   26.473453   351.824      -2.224     0.547    -2.285     0.120
1810330210   39.486173   27.007442    92.003      -1.593     6.208    -2.722     5.799
1810330211   38.998417   26.543501    53.375       3.355     1.697     2.977     2.293
1810330212   39.149725   27.476454   165.310      -0.975    -0.829    -0.801    -0.996
